RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF,p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_173420_phrases_english_-1_6_8,phrases,english,6,8,0.2562,1158.9554,2686,121408,336,86.72,76833,0.426160015466994,0.000000000023144662509617,FALSE,TRUE
20250821_173529_phrases_english_-1_6_9,phrases,english,6,9,0.2649,1228.7589,2556,124095,206,88.6392857142857,77428,0.411910073680977,0.00419553418539486,FALSE,TRUE
20250821_173639_phrases_english_-1_6_10,phrases,english,6,10,0.2692,1258.6696,2468,125638,116,89.7414285714286,77916,0.47049211489037,1,FALSE,FALSE
20250821_173744_phrases_english_-1_6_11,phrases,english,6,11,0.2713,1262.3661,2417,126211,64,90.1507142857143,78124,0.47049211489037,0.849550187314453,FALSE,FALSE
20250821_173850_phrases_english_-1_6_12,phrases,english,6,12,0.2743,1263.6518,2382,126624,27,90.4457142857143,78278,0.218053681870499,0.849550187314453,FALSE,FALSE
20250821_173954_phrases_english_-1_6_13,phrases,english,6,13,0.2752,1263.8482,2366,126799,9,90.5707142857143,78352,0.125345697188492,0.704379315424892,FALSE,FALSE
20250821_174055_phrases_english_-1_6_14,phrases,english,6,14,0.2752,1263.8482,2362,126842,4,90.6014285714286,78373,0.125345697188492,0.704379315424892,FALSE,FALSE
20250821_174202_phrases_english_-1_6_15,phrases,english,6,15,0.275,1263.8661,2359,126869,0,90.6207142857143,78376,0.184285872880365,0.704379315424892,FALSE,FALSE
20250821_174303_phrases_english_-1_6_16,phrases,english,6,16,0.275,1263.8661,2359,126869,0,90.6207142857143,78376,0.184285872880365,0.704379315424892,FALSE,FALSE
20250821_174405_phrases_english_-1_6_17,phrases,english,6,17,0.275,1263.8661,2359,126869,0,90.6207142857143,78376,0.184285872880365,0.704379315424892,FALSE,FALSE
20250821_174506_phrases_english_-1_6_24,phrases,english,6,24,0.275,1263.8661,2359,126869,0,90.6207142857143,78376,0.184285872880365,0.704379315424892,FALSE,FALSE
20250821_174605_phrases_english_-1_6_48,phrases,english,6,48,0.275,1263.8661,2359,126869,0,90.6207142857143,78376,0.184285872880365,0.704379315424892,FALSE,FALSE
20250821_174706_phrases_english_-1_7_0,phrases,english,7,0,0.2171,591.6161,3223,109292,1073,78.0657142857143,75469,0.0000391871537869149,2.43784212360536E-030,TRUE,TRUE
20250821_174816_phrases_english_-1_7_1,phrases,english,7,1,0.2177,598.3482,3220,109292,1070,78.0657142857143,75375,0.0000160285861455755,2.43784212360536E-030,TRUE,TRUE
20250821_174926_phrases_english_-1_7_2,phrases,english,7,2,0.2172,606.4732,3197,109357,1047,78.1121428571429,75242,0.0000160285861455755,2.43784212360536E-030,TRUE,TRUE
20250821_175037_phrases_english_-1_7_3,phrases,english,7,3,0.2195,623.25,3154,109572,1004,78.2657142857143,75177,0.0000160285861455755,2.43784212360536E-030,TRUE,TRUE
20250821_175144_phrases_english_-1_7_4,phrases,english,7,4,0.2247,676.1786,3060,110363,910,78.8307142857143,75134,0.00124023971439765,9.02294327085531E-029,TRUE,TRUE
20250821_175252_phrases_english_-1_7_5,phrases,english,7,5,0.2297,782.25,2934,111748,784,79.82,75148,0.00110862088781134,2.48255027614838E-027,TRUE,TRUE
20250821_175400_phrases_english_-1_7_6,phrases,english,7,6,0.2383,897.0982,2748,113674,598,81.1957142857143,75290,0.0619263798786274,9.7567866938747E-025,FALSE,TRUE
20250821_175508_phrases_english_-1_7_7,phrases,english,7,7,0.2478,996.3929,2577,116381,427,83.1292857142857,75452,0.114468242012558,1.98082649793684E-022,FALSE,TRUE
20250821_175616_phrases_english_-1_7_8,phrases,english,7,8,0.2617,1166.2411,2410,121097,260,86.4978571428571,76252,0.842382098507743,0.000000000379572334707661,FALSE,TRUE
20250821_175725_phrases_english_-1_7_9,phrases,english,7,9,0.2715,1236.9286,2302,123686,152,88.3471428571429,76823,1,0.0177657812803871,FALSE,TRUE
20250821_175833_phrases_english_-1_7_10,phrases,english,7,10,0.2743,1264.9196,2234,125113,83,89.3664285714286,77280,0.358397632191626,0.704379315424892,FALSE,FALSE
20250821_175938_phrases_english_-1_7_11,phrases,english,7,11,0.2768,1268.2143,2197,125607,45,89.7192857142857,77469,0.121371112972429,0.704379315424892,FALSE,FALSE
20250821_180043_phrases_english_-1_7_12,phrases,english,7,12,0.2775,1269.125,2171,125965,18,89.975,77607,0.17966501480803,0.704379315424892,FALSE,FALSE
20250821_180150_phrases_english_-1_7_13,phrases,english,7,13,0.2785,1269.2946,2159,126118,5,90.0842857142857,77672,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180255_phrases_english_-1_7_14,phrases,english,7,14,0.2785,1269.2946,2157,126149,2,90.1064285714286,77690,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180359_phrases_english_-1_7_15,phrases,english,7,15,0.2785,1269.3036,2155,126164,0,90.1171428571429,77691,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180459_phrases_english_-1_7_16,phrases,english,7,16,0.2785,1269.3036,2155,126164,0,90.1171428571429,77691,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180601_phrases_english_-1_7_17,phrases,english,7,17,0.2785,1269.3036,2155,126164,0,90.1171428571429,77691,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180701_phrases_english_-1_7_24,phrases,english,7,24,0.2785,1269.3036,2155,126164,0,90.1171428571429,77691,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180803_phrases_english_-1_7_48,phrases,english,7,48,0.2785,1269.3036,2155,126164,0,90.1171428571429,77691,0.121371112972429,0.569220227803576,FALSE,FALSE
20250821_180903_phrases_english_-1_8_0,phrases,english,8,0,0.2273,616.25,2889,109018,915,77.87,74606,0.000606076277209059,2.43784212360536E-030,TRUE,TRUE
20250821_181009_phrases_english_-1_8_1,phrases,english,8,1,0.2272,623.1429,2887,109018,913,77.87,74543,0.000284528618916252,2.43784212360536E-030,TRUE,TRUE
20250821_181115_phrases_english_-1_8_2,phrases,english,8,2,0.2275,625.6518,2869,109078,895,77.9128571428572,74428,0.000284528618916252,2.43784212360536E-030,TRUE,TRUE
20250821_181221_phrases_english_-1_8_3,phrases,english,8,3,0.2283,639.0893,2836,109265,862,78.0464285714286,74374,0.00124023971439765,2.43784212360536E-030,TRUE,TRUE
20250821_181329_phrases_english_-1_8_4,phrases,english,8,4,0.2328,691.25,2760,109979,786,78.5564285714286,74316,0.00322098986879853,9.02294327085531E-029,TRUE,TRUE
20250821_181436_phrases_english_-1_8_5,phrases,english,8,5,0.236,796.8839,2653,111281,679,79.4864285714286,74316,0.00110862088781134,5.41566804944486E-026,TRUE,TRUE
20250821_181542_phrases_english_-1_8_6,phrases,english,8,6,0.2456,907.4286,2491,113095,517,80.7821428571429,74452,0.0950436747994083,1.49301545011961E-023,FALSE,TRUE
20250821_181647_phrases_english_-1_8_7,phrases,english,8,7,0.2522,1006.2589,2344,115664,370,82.6171428571429,74580,0.324478780288065,2.31451148428466E-021,FALSE,TRUE
20250821_181753_phrases_english_-1_8_8,phrases,english,8,8,0.2612,1173.2232,2195,120281,221,85.915,75361,0.842382098507743,0.0000000546197809541596,FALSE,TRUE
